nivel,2nai,tempo,swaps,E,E0.5,TdivE
19,524288,251,4541453,9961472,4980736,0.00002519707931
20,1048576,561,9606982,20971520,10485760,0.00002675056458
21,2097152,1308,20261647,44040192,22020096,0.000029700143
22,4194304,2949,42620251,92274688,46137344,0.00003195892681
23,8388608,6347,89433901,192937984,96468992,0.0000328965809
24,16777216,13750,187257153,402653184,201326592,0.0000341484944
25,33554432,30293,391293605,838860800,419430400,0.00003611207008
26,67108864,68809,816149544,1744830464,872415232,0.0000394359231
27,134217728,147421,1699389744,3623878656,1811939328,0.00004068044601
28,268435456,313192,3532994859,7516192768,3758096384,0.00004166896854
