i,n,m,insert,delete,update,swap,time,TE
18,32768,262544,32763,32763,26334,84238,1370,0.06958741941
19,32768,524974,32768,32768,46417,86197,2946,0.0792301817
20,32768,1048496,32768,32768,68168,87117,4865,0.06749045561
21,32768,2096032,32768,32768,90211,87354,7055,0.04971110485
22,32768,4194421,32768,32768,112669,307143,10284,0.03649233569
23,32768,8387026,32768,32768,135189,318122,12858,0.0229067362
24,32768,16779784,32768,32768,158165,334153,15823,0.01411713106
25,32768,33563633,32768,32768,182478,358379,19101,0.008528145619
26,32768,67112562,32768,32768,205920,340213,22901,0.00511599243
27,32768,134208560,32768,32768,211952,230728,27255,0.00304544812
28,32768,268434124,32768,32768,212355,174786,32194,0.001798769287
